c_symbol,python_class,method,owning_class,binding_kind
TGUIObject_GetScreenOffset,OptionsWindowPtr,GetScreenOffset,TGUIObject,direct
TGUIObject_GetTop,OptionsWindowPtr,GetTop,TGUIObject,direct
GetTrueNthChild,OptionsWindowPtr,GetTrueNthChild,,python_wrapper
TGPane_GetTrueNumChildren,OptionsWindowPtr,GetTrueNumChildren,TGPane,direct
MainWindow_GetType,OptionsWindowPtr,GetType,MainWindow,direct
TGUIObject_GetWidth,OptionsWindowPtr,GetWidth,TGUIObject,direct
TGUIObject_GotFocus,OptionsWindowPtr,GotFocus,TGUIObject,direct
TGUIObject_GotTrueFocus,OptionsWindowPtr,GotTrueFocus,TGUIObject,direct
TGUIObject_GotTrueFocusPath,OptionsWindowPtr,GotTrueFocusPath,TGUIObject,direct
TGUIObject_HasAncestor,OptionsWindowPtr,HasAncestor,TGUIObject,direct
TGUIObject_HasFocus,OptionsWindowPtr,HasFocus,TGUIObject,direct
TGUIObject_HasTrueFocus,OptionsWindowPtr,HasTrueFocus,TGUIObject,direct
MainWindow_Initialize,OptionsWindowPtr,Initialize,MainWindow,direct
TGPane_InsertChild,OptionsWindowPtr,InsertChild,TGPane,direct
TGUIObject_IsAlwaysHandleEvents,OptionsWindowPtr,IsAlwaysHandleEvents,TGUIObject,direct
TGUIObject_IsBatchChildPolys,OptionsWindowPtr,IsBatchChildPolys,TGUIObject,direct
TGUIObject_IsCompletelyEnabled,OptionsWindowPtr,IsCompletelyEnabled,TGUIObject,direct
TGUIObject_IsCompletelyVisible,OptionsWindowPtr,IsCompletelyVisible,TGUIObject,direct
TGUIObject_IsEnabled,OptionsWindowPtr,IsEnabled,TGUIObject,direct
TGUIObject_IsExclusive,OptionsWindowPtr,IsExclusive,TGUIObject,direct
TGUIObject_IsHighlighted,OptionsWindowPtr,IsHighlighted,TGUIObject,direct
TGUIObject_IsInTrueFocusPath,OptionsWindowPtr,IsInTrueFocusPath,TGUIObject,direct
TGUIObject_IsNoFocus,OptionsWindowPtr,IsNoFocus,TGUIObject,direct
TGUIObject_IsSelected,OptionsWindowPtr,IsSelected,TGUIObject,direct
TGUIObject_IsSkipParent,OptionsWindowPtr,IsSkipParent,TGUIObject,direct
TGObject_IsTypeOf,OptionsWindowPtr,IsTypeOf,TGObject,direct
TGUIObject_IsUseParentBatch,OptionsWindowPtr,IsUseParentBatch,TGUIObject,direct
TGUIObject_IsVisible,OptionsWindowPtr,IsVisible,TGUIObject,direct
MainWindow_IsWindowActive,OptionsWindowPtr,IsWindowActive,MainWindow,direct
TGUIObject_IsWithin,OptionsWindowPtr,IsWithin,TGUIObject,direct
TGPane_KillChildren,OptionsWindowPtr,KillChildren,TGPane,direct
TGUIObject_Layout,OptionsWindowPtr,Layout,TGUIObject,direct
TGAttrObject_LookupAttrInt,OptionsWindowPtr,LookupAttrInt,TGAttrObject,direct
TGAttrObject_LookupAttrValue,OptionsWindowPtr,LookupAttrValue,TGAttrObject,direct
TGTemplatedAttrObject_LookupLocalAttrValue,OptionsWindowPtr,LookupLocalAttrValue,TGTemplatedAttrObject,direct
TGUIObject_LostFocus,OptionsWindowPtr,LostFocus,TGUIObject,direct
TGUIObject_LostTrueFocus,OptionsWindowPtr,LostTrueFocus,TGUIObject,direct
TGUIObject_LostTrueFocusPath,OptionsWindowPtr,LostTrueFocusPath,TGUIObject,direct
TGUIObject_MouseEntered,OptionsWindowPtr,MouseEntered,TGUIObject,direct
TGUIObject_MouseExited,OptionsWindowPtr,MouseExited,TGUIObject,direct
TGUIObject_Move,OptionsWindowPtr,Move,TGUIObject,direct
TGPane_MoveFocus,OptionsWindowPtr,MoveFocus,TGPane,direct
TGPane_MoveToBack,OptionsWindowPtr,MoveToBack,TGPane,direct
TGPane_MoveToFront,OptionsWindowPtr,MoveToFront,TGPane,direct
TGPane_MoveTowardsBack,OptionsWindowPtr,MoveTowardsBack,TGPane,direct
TGPane_MoveTowardsFront,OptionsWindowPtr,MoveTowardsFront,TGPane,direct
TGPane_PrependChild,OptionsWindowPtr,PrependChild,TGPane,direct
TGUIObject_Print,OptionsWindowPtr,Print,TGUIObject,direct
TGEventHandlerObject_ProcessEvent,OptionsWindowPtr,ProcessEvent,TGEventHandlerObject,direct
TGEventHandlerObject_RemoveAllInstanceHandlers,OptionsWindowPtr,RemoveAllInstanceHandlers,TGEventHandlerObject,direct
OptionsWindow_RemoveAllPreviouslyVisible,OptionsWindowPtr,RemoveAllPreviouslyVisible,OptionsWindow,direct
TGAttrObject_RemoveAttr,OptionsWindowPtr,RemoveAttr,TGAttrObject,direct
TGPane_RemoveChild,OptionsWindowPtr,RemoveChild,TGPane,direct
OptionsWindow_RemoveFromPreviouslyVisible,OptionsWindowPtr,RemoveFromPreviouslyVisible,OptionsWindow,direct
TGEventHandlerObject_RemoveHandlerForInstance,OptionsWindowPtr,RemoveHandlerForInstance,TGEventHandlerObject,direct
TGUIObject_Resize,OptionsWindowPtr,Resize,TGUIObject,direct
TGUIObject_SetAlwaysHandleEvents,OptionsWindowPtr,SetAlwaysHandleEvents,TGUIObject,direct
TGUIObject_SetAlwaysHandleEventsFlag,OptionsWindowPtr,SetAlwaysHandleEventsFlag,TGUIObject,direct
TGAttrObject_SetAttrInt,OptionsWindowPtr,SetAttrInt,TGAttrObject,direct
TGAttrObject_SetAttrValue,OptionsWindowPtr,SetAttrValue,TGAttrObject,direct
TGUIObject_SetBatchChildPolys,OptionsWindowPtr,SetBatchChildPolys,TGUIObject,direct
TGUIObject_SetBatchChildPolysFlag,OptionsWindowPtr,SetBatchChildPolysFlag,TGUIObject,direct
TGUIObject_SetBounds,OptionsWindowPtr,SetBounds,TGUIObject,direct
TGUIObject_SetDisabled,OptionsWindowPtr,SetDisabled,TGUIObject,direct
TGUIObject_SetEnabled,OptionsWindowPtr,SetEnabled,TGUIObject,direct
TGUIObject_SetEnabledFlag,OptionsWindowPtr,SetEnabledFlag,TGUIObject,direct
TGUIObject_SetExclusive,OptionsWindowPtr,SetExclusive,TGUIObject,direct
TGUIObject_SetExclusiveFlag,OptionsWindowPtr,SetExclusiveFlag,TGUIObject,direct
TGPane_SetFocus,OptionsWindowPtr,SetFocus,TGPane,direct
OptionsWindow_SetHasFocusObject,OptionsWindowPtr,SetHasFocusObject,OptionsWindow,direct
TGUIObject_SetHighlighted,OptionsWindowPtr,SetHighlighted,TGUIObject,direct
TGUIObject_SetHighlightedFlag,OptionsWindowPtr,SetHighlightedFlag,TGUIObject,direct
TGUIObject_SetNoFocus,OptionsWindowPtr,SetNoFocus,TGUIObject,direct
TGUIObject_SetNoFocusFlag,OptionsWindowPtr,SetNoFocusFlag,TGUIObject,direct
TGUIObject_SetNoSkipParent,OptionsWindowPtr,SetNoSkipParent,TGUIObject,direct
TGUIObject_SetNotAlwaysHandleEvents,OptionsWindowPtr,SetNotAlwaysHandleEvents,TGUIObject,direct
TGUIObject_SetNotBatchChildPolys,OptionsWindowPtr,SetNotBatchChildPolys,TGUIObject,direct
TGUIObject_SetNotExclusive,OptionsWindowPtr,SetNotExclusive,TGUIObject,direct
TGUIObject_SetNotHighlighted,OptionsWindowPtr,SetNotHighlighted,TGUIObject,direct
TGUIObject_SetNotNoFocus,OptionsWindowPtr,SetNotNoFocus,TGUIObject,direct
TGUIObject_SetNotSelected,OptionsWindowPtr,SetNotSelected,TGUIObject,direct
TGUIObject_SetNotUseParentBatch,OptionsWindowPtr,SetNotUseParentBatch,TGUIObject,direct
TGUIObject_SetNotVisible,OptionsWindowPtr,SetNotVisible,TGUIObject,direct
TGUIObject_SetParent,OptionsWindowPtr,SetParent,TGUIObject,direct
TGUIObject_SetPosition,OptionsWindowPtr,SetPosition,TGUIObject,direct
TGUIObject_SetSelected,OptionsWindowPtr,SetSelected,TGUIObject,direct
TGUIObject_SetSelectedFlag,OptionsWindowPtr,SetSelectedFlag,TGUIObject,direct
TGUIObject_SetSkipParent,OptionsWindowPtr,SetSkipParent,TGUIObject,direct
TGUIObject_SetSkipParentFlag,OptionsWindowPtr,SetSkipParentFlag,TGUIObject,direct
TGUIObject_SetUseParentBatch,OptionsWindowPtr,SetUseParentBatch,TGUIObject,direct
TGUIObject_SetUseParentBatchFlag,OptionsWindowPtr,SetUseParentBatchFlag,TGUIObject,direct
TGUIObject_SetVisible,OptionsWindowPtr,SetVisible,TGUIObject,direct
TGUIObject_SetVisibleFlag,OptionsWindowPtr,SetVisibleFlag,TGUIObject,direct
TGUIObject_ToggleAlwaysHandleEvents,OptionsWindowPtr,ToggleAlwaysHandleEvents,TGUIObject,direct
TGUIObject_ToggleBatchChildPolys,OptionsWindowPtr,ToggleBatchChildPolys,TGUIObject,direct
TGUIObject_ToggleEnabled,OptionsWindowPtr,ToggleEnabled,TGUIObject,direct
TGUIObject_ToggleExclusive,OptionsWindowPtr,ToggleExclusive,TGUIObject,direct
TGUIObject_ToggleHighlighted,OptionsWindowPtr,ToggleHighlighted,TGUIObject,direct
TGUIObject_ToggleNoFocus,OptionsWindowPtr,ToggleNoFocus,TGUIObject,direct
TGUIObject_ToggleSelected,OptionsWindowPtr,ToggleSelected,TGUIObject,direct
TGUIObject_ToggleSkipParent,OptionsWindowPtr,ToggleSkipParent,TGUIObject,direct
TGUIObject_ToggleUseParentBatch,OptionsWindowPtr,ToggleUseParentBatch,TGUIObject,direct
MainWindow_ToggleVisibility,OptionsWindowPtr,ToggleVisibility,MainWindow,direct
TGUIObject_ToggleVisible,OptionsWindowPtr,ToggleVisible,TGUIObject,direct
MainWindow_Update,OptionsWindowPtr,Update,MainWindow,direct
ShipSubsystem_AddChildSubsystem,PhaserBank,AddChildSubsystem,ShipSubsystem,direct
TGEventHandlerObject_AddPythonFuncHandlerForInstance,PhaserBank,AddPythonFuncHandlerForInstance,TGEventHandlerObject,direct
TGEventHandlerObject_AddPythonMethodHandlerForInstance,PhaserBank,AddPythonMethodHandlerForInstance,TGEventHandlerObject,direct
CalculateRoughDirection,PhaserBank,CalculateRoughDirection,,python_wrapper
EnergyWeapon_CalculateWeaponAppeal,PhaserBank,CalculateWeaponAppeal,EnergyWeapon,direct
TGEventHandlerObject_CallNextHandler,PhaserBank,CallNextHandler,TGEventHandlerObject,direct
Weapon_CanFire,PhaserBank,CanFire,Weapon,direct
PhaserBank_CanHit,PhaserBank,CanHit,PhaserBank,direct
TGObject_Destroy,PhaserBank,Destroy,TGObject,direct
Weapon_Fire,PhaserBank,Fire,Weapon,direct
Weapon_FireDumb,PhaserBank,FireDumb,Weapon,direct
PhaserBank_GetArcHeightAngleMax,PhaserBank,GetArcHeightAngleMax,PhaserBank,direct
PhaserBank_GetArcHeightAngleMin,PhaserBank,GetArcHeightAngleMin,PhaserBank,direct
PhaserBank_GetArcHeightAngles,PhaserBank,GetArcHeightAngles,PhaserBank,direct
PhaserBank_GetArcWidthAngleMax,PhaserBank,GetArcWidthAngleMax,PhaserBank,direct
PhaserBank_GetArcWidthAngleMin,PhaserBank,GetArcWidthAngleMin,PhaserBank,direct
PhaserBank_GetArcWidthAngles,PhaserBank,GetArcWidthAngles,PhaserBank,direct
TGAttrObject_GetAttrInt,PhaserBank,GetAttrInt,TGAttrObject,direct
TGAttrObject_GetAttrValue,PhaserBank,GetAttrValue,TGAttrObject,direct
EnergyWeapon_GetChargeLevel,PhaserBank,GetChargeLevel,EnergyWeapon,direct
EnergyWeapon_GetChargePercentage,PhaserBank,GetChargePercentage,EnergyWeapon,direct
GetChargeWatcher,PhaserBank,GetChargeWatcher,,python_wrapper
GetChildSubsystem,PhaserBank,GetChildSubsystem,,python_wrapper
ShipSubsystem_GetChildSubsystemIndex,PhaserBank,GetChildSubsystemIndex,ShipSubsystem,direct
ShipSubsystem_GetChildSubsystems,PhaserBank,GetChildSubsystems,ShipSubsystem,direct
ShipSubsystem_GetCombinedConditionPercentage,PhaserBank,GetCombinedConditionPercentage,ShipSubsystem,direct
GetCombinedPercentageWatcher,PhaserBank,GetCombinedPercentageWatcher,,python_wrapper
ShipSubsystem_GetCondition,PhaserBank,GetCondition,ShipSubsystem,direct
ShipSubsystem_GetConditionPercentage,PhaserBank,GetConditionPercentage,ShipSubsystem,direct
GetConditionWatcher,PhaserBank,GetConditionWatcher,,python_wrapper
ShipSubsystem_GetDamage,PhaserBank,GetDamage,ShipSubsystem,direct
GetDamagePoint,PhaserBank,GetDamagePoint,,python_wrapper
Weapon_GetDamageRadiusFactor,PhaserBank,GetDamageRadiusFactor,Weapon,direct
ShipSubsystem_GetDisabledPercentage,PhaserBank,GetDisabledPercentage,ShipSubsystem,direct
GetDisplayName,PhaserBank,GetDisplayName,,python_wrapper
EnergyWeapon_GetFireLoopSound,PhaserBank,GetFireLoopSound,EnergyWeapon,direct
EnergyWeapon_GetFireSound,PhaserBank,GetFireSound,EnergyWeapon,direct
EnergyWeapon_GetFireStartSound,PhaserBank,GetFireStartSound,EnergyWeapon,direct
ShipSubsystem_GetLastChildSubsystemIndex,PhaserBank,GetLastChildSubsystemIndex,ShipSubsystem,direct
ShipSubsystem_GetLastUpdateLength,PhaserBank,GetLastUpdateLength,ShipSubsystem,direct
PhaserBank_GetLength,PhaserBank,GetLength,PhaserBank,direct
EnergyWeapon_GetMaxCharge,PhaserBank,GetMaxCharge,EnergyWeapon,direct
ShipSubsystem_GetMaxCondition,PhaserBank,GetMaxCondition,ShipSubsystem,direct
EnergyWeapon_GetMaxDamage,PhaserBank,GetMaxDamage,EnergyWeapon,direct
EnergyWeapon_GetMaxDamageDistance,PhaserBank,GetMaxDamageDistance,EnergyWeapon,direct
EnergyWeapon_GetMinFiringCharge,PhaserBank,GetMinFiringCharge,EnergyWeapon,direct
ShipSubsystem_GetName,PhaserBank,GetName,ShipSubsystem,direct
GetNextTargetableChildSubsystem,PhaserBank,GetNextTargetableChildSubsystem,,python_wrapper
EnergyWeapon_GetNormalDischargeRate,PhaserBank,GetNormalDischargeRate,EnergyWeapon,direct
ShipSubsystem_GetNumChildSubsystems,PhaserBank,GetNumChildSubsystems,ShipSubsystem,direct
TGObject_GetObjID,PhaserBank,GetObjID,TGObject,direct
TGObject_GetObjType,PhaserBank,GetObjType,TGObject,direct
GetOrientationForward,PhaserBank,GetOrientationForward,,python_wrapper
GetOrientationRight,PhaserBank,GetOrientationRight,,python_wrapper
GetOrientationUp,PhaserBank,GetOrientationUp,,python_wrapper
Weapon_GetOverallConditionPercentage,PhaserBank,GetOverallConditionPercentage,Weapon,direct
GetParentShip,PhaserBank,GetParentShip,,python_wrapper
GetParentSubsystem,PhaserBank,GetParentSubsystem,,python_wrapper
PhaserBank_GetPhaserTextureEnd,PhaserBank,GetPhaserTextureEnd,PhaserBank,direct
PhaserBank_GetPhaserTextureStart,PhaserBank,GetPhaserTextureStart,PhaserBank,direct
PhaserBank_GetPhaserWidth,PhaserBank,GetPhaserWidth,PhaserBank,direct
GetPosition,PhaserBank,GetPosition,,python_wrapper
GetPositionTG,PhaserBank,GetPositionTG,,python_wrapper
EnergyWeapon_GetPowerSetting,PhaserBank,GetPowerSetting,EnergyWeapon,direct
GetProperty,PhaserBank,GetProperty,,python_wrapper
ShipSubsystem_GetRadius,PhaserBank,GetRadius,ShipSubsystem,direct
EnergyWeapon_GetRechargeRate,PhaserBank,GetRechargeRate,EnergyWeapon,direct
ShipSubsystem_GetRepairComplexity,PhaserBank,GetRepairComplexity,ShipSubsystem,direct
ShipSubsystem_GetRepairPointsNeeded,PhaserBank,GetRepairPointsNeeded,ShipSubsystem,direct
Weapon_GetTargetID,PhaserBank,GetTargetID,Weapon,direct
PhaserBank_GetWidth,PhaserBank,GetWidth,PhaserBank,direct
GetWorldLocation,PhaserBank,GetWorldLocation,,python_wrapper
ShipSubsystem_HasTargetableChildSubsystem,PhaserBank,HasTargetableChildSubsystem,ShipSubsystem,direct
ShipSubsystem_IsCritical,PhaserBank,IsCritical,ShipSubsystem,direct
ShipSubsystem_IsDisabled,PhaserBank,IsDisabled,ShipSubsystem,direct
Weapon_IsDumbFire,PhaserBank,IsDumbFire,Weapon,direct
Weapon_IsFiring,PhaserBank,IsFiring,Weapon,direct
ShipSubsystem_IsHittableFromLocation,PhaserBank,IsHittableFromLocation,ShipSubsystem,direct
ShipSubsystem_IsInvincible,PhaserBank,IsInvincible,ShipSubsystem,direct
Weapon_IsMemberOfGroup,PhaserBank,IsMemberOfGroup,Weapon,direct
ShipSubsystem_IsTargetable,PhaserBank,IsTargetable,ShipSubsystem,direct
TGObject_IsTypeOf,PhaserBank,IsTypeOf,TGObject,direct
TGAttrObject_LookupAttrInt,PhaserBank,LookupAttrInt,TGAttrObject,direct
TGAttrObject_LookupAttrValue,PhaserBank,LookupAttrValue,TGAttrObject,direct
TGTemplatedAttrObject_LookupLocalAttrValue,PhaserBank,LookupLocalAttrValue,TGTemplatedAttrObject,direct
TGObject_Print,PhaserBank,Print,TGObject,direct
TGEventHandlerObject_ProcessEvent,PhaserBank,ProcessEvent,TGEventHandlerObject,direct
TGEventHandlerObject_RemoveAllInstanceHandlers,PhaserBank,RemoveAllInstanceHandlers,TGEventHandlerObject,direct
TGAttrObject_RemoveAttr,PhaserBank,RemoveAttr,TGAttrObject,direct
TGEventHandlerObject_RemoveHandlerForInstance,PhaserBank,RemoveHandlerForInstance,TGEventHandlerObject,direct
ShipSubsystem_Repair,PhaserBank,Repair,ShipSubsystem,direct
TGAttrObject_SetAttrInt,PhaserBank,SetAttrInt,TGAttrObject,direct
TGAttrObject_SetAttrValue,PhaserBank,SetAttrValue,TGAttrObject,direct
EnergyWeapon_SetChargeLevel,PhaserBank,SetChargeLevel,EnergyWeapon,direct
ShipSubsystem_SetCondition,PhaserBank,SetCondition,ShipSubsystem,direct
ShipSubsystem_SetConditionPercentage,PhaserBank,SetConditionPercentage,ShipSubsystem,direct
Weapon_SetFiring,PhaserBank,SetFiring,Weapon,direct
ShipSubsystem_SetInvincible,PhaserBank,SetInvincible,ShipSubsystem,direct
ShipSubsystem_SetParentShip,PhaserBank,SetParentShip,ShipSubsystem,direct
ShipSubsystem_SetParentSubsystem,PhaserBank,SetParentSubsystem,ShipSubsystem,direct
EnergyWeapon_SetPowerSetting,PhaserBank,SetPowerSetting,EnergyWeapon,direct
ShipSubsystem_SetProperty,PhaserBank,SetProperty,ShipSubsystem,direct
Weapon_StopFiring,PhaserBank,StopFiring,Weapon,direct
ShipSubsystem_Update,PhaserBank,Update,ShipSubsystem,direct
PhaserBank_UpdateCharge,PhaserBank,UpdateCharge,PhaserBank,direct
ShipSubsystem_UpdateDamagePoint,PhaserBank,UpdateDamagePoint,ShipSubsystem,direct
ShipSubsystem_AddChildSubsystem,PhaserBankPtr,AddChildSubsystem,ShipSubsystem,direct
TGEventHandlerObject_AddPythonFuncHandlerForInstance,PhaserBankPtr,AddPythonFuncHandlerForInstance,TGEventHandlerObject,direct
TGEventHandlerObject_AddPythonMethodHandlerForInstance,PhaserBankPtr,AddPythonMethodHandlerForInstance,TGEventHandlerObject,direct
CalculateRoughDirection,PhaserBankPtr,CalculateRoughDirection,,python_wrapper
EnergyWeapon_CalculateWeaponAppeal,PhaserBankPtr,CalculateWeaponAppeal,EnergyWeapon,direct
TGEventHandlerObject_CallNextHandler,PhaserBankPtr,CallNextHandler,TGEventHandlerObject,direct
Weapon_CanFire,PhaserBankPtr,CanFire,Weapon,direct
PhaserBank_CanHit,PhaserBankPtr,CanHit,PhaserBank,direct
TGObject_Destroy,PhaserBankPtr,Destroy,TGObject,direct
Weapon_Fire,PhaserBankPtr,Fire,Weapon,direct
Weapon_FireDumb,PhaserBankPtr,FireDumb,Weapon,direct
PhaserBank_GetArcHeightAngleMax,PhaserBankPtr,GetArcHeightAngleMax,PhaserBank,direct
PhaserBank_GetArcHeightAngleMin,PhaserBankPtr,GetArcHeightAngleMin,PhaserBank,direct
PhaserBank_GetArcHeightAngles,PhaserBankPtr,GetArcHeightAngles,PhaserBank,direct
PhaserBank_GetArcWidthAngleMax,PhaserBankPtr,GetArcWidthAngleMax,PhaserBank,direct
PhaserBank_GetArcWidthAngleMin,PhaserBankPtr,GetArcWidthAngleMin,PhaserBank,direct
PhaserBank_GetArcWidthAngles,PhaserBankPtr,GetArcWidthAngles,PhaserBank,direct
TGAttrObject_GetAttrInt,PhaserBankPtr,GetAttrInt,TGAttrObject,direct
TGAttrObject_GetAttrValue,PhaserBankPtr,GetAttrValue,TGAttrObject,direct
EnergyWeapon_GetChargeLevel,PhaserBankPtr,GetChargeLevel,EnergyWeapon,direct
EnergyWeapon_GetChargePercentage,PhaserBankPtr,GetChargePercentage,EnergyWeapon,direct
GetChargeWatcher,PhaserBankPtr,GetChargeWatcher,,python_wrapper
GetChildSubsystem,PhaserBankPtr,GetChildSubsystem,,python_wrapper
ShipSubsystem_GetChildSubsystemIndex,PhaserBankPtr,GetChildSubsystemIndex,ShipSubsystem,direct
ShipSubsystem_GetChildSubsystems,PhaserBankPtr,GetChildSubsystems,ShipSubsystem,direct
ShipSubsystem_GetCombinedConditionPercentage,PhaserBankPtr,GetCombinedConditionPercentage,ShipSubsystem,direct
GetCombinedPercentageWatcher,PhaserBankPtr,GetCombinedPercentageWatcher,,python_wrapper
ShipSubsystem_GetCondition,PhaserBankPtr,GetCondition,ShipSubsystem,direct
ShipSubsystem_GetConditionPercentage,PhaserBankPtr,GetConditionPercentage,ShipSubsystem,direct
GetConditionWatcher,PhaserBankPtr,GetConditionWatcher,,python_wrapper
ShipSubsystem_GetDamage,PhaserBankPtr,GetDamage,ShipSubsystem,direct
GetDamagePoint,PhaserBankPtr,GetDamagePoint,,python_wrapper
Weapon_GetDamageRadiusFactor,PhaserBankPtr,GetDamageRadiusFactor,Weapon,direct
ShipSubsystem_GetDisabledPercentage,PhaserBankPtr,GetDisabledPercentage,ShipSubsystem,direct
GetDisplayName,PhaserBankPtr,GetDisplayName,,python_wrapper
EnergyWeapon_GetFireLoopSound,PhaserBankPtr,GetFireLoopSound,EnergyWeapon,direct
EnergyWeapon_GetFireSound,PhaserBankPtr,GetFireSound,EnergyWeapon,direct
EnergyWeapon_GetFireStartSound,PhaserBankPtr,GetFireStartSound,EnergyWeapon,direct
ShipSubsystem_GetLastChildSubsystemIndex,PhaserBankPtr,GetLastChildSubsystemIndex,ShipSubsystem,direct
ShipSubsystem_GetLastUpdateLength,PhaserBankPtr,GetLastUpdateLength,ShipSubsystem,direct
PhaserBank_GetLength,PhaserBankPtr,GetLength,PhaserBank,direct
EnergyWeapon_GetMaxCharge,PhaserBankPtr,GetMaxCharge,EnergyWeapon,direct
ShipSubsystem_GetMaxCondition,PhaserBankPtr,GetMaxCondition,ShipSubsystem,direct
EnergyWeapon_GetMaxDamage,PhaserBankPtr,GetMaxDamage,EnergyWeapon,direct
EnergyWeapon_GetMaxDamageDistance,PhaserBankPtr,GetMaxDamageDistance,EnergyWeapon,direct
EnergyWeapon_GetMinFiringCharge,PhaserBankPtr,GetMinFiringCharge,EnergyWeapon,direct
ShipSubsystem_GetName,PhaserBankPtr,GetName,ShipSubsystem,direct
GetNextTargetableChildSubsystem,PhaserBankPtr,GetNextTargetableChildSubsystem,,python_wrapper
EnergyWeapon_GetNormalDischargeRate,PhaserBankPtr,GetNormalDischargeRate,EnergyWeapon,direct
ShipSubsystem_GetNumChildSubsystems,PhaserBankPtr,GetNumChildSubsystems,ShipSubsystem,direct
TGObject_GetObjID,PhaserBankPtr,GetObjID,TGObject,direct
TGObject_GetObjType,PhaserBankPtr,GetObjType,TGObject,direct
GetOrientationForward,PhaserBankPtr,GetOrientationForward,,python_wrapper
GetOrientationRight,PhaserBankPtr,GetOrientationRight,,python_wrapper
GetOrientationUp,PhaserBankPtr,GetOrientationUp,,python_wrapper
Weapon_GetOverallConditionPercentage,PhaserBankPtr,GetOverallConditionPercentage,Weapon,direct
GetParentShip,PhaserBankPtr,GetParentShip,,python_wrapper
GetParentSubsystem,PhaserBankPtr,GetParentSubsystem,,python_wrapper
PhaserBank_GetPhaserTextureEnd,PhaserBankPtr,GetPhaserTextureEnd,PhaserBank,direct
PhaserBank_GetPhaserTextureStart,PhaserBankPtr,GetPhaserTextureStart,PhaserBank,direct
PhaserBank_GetPhaserWidth,PhaserBankPtr,GetPhaserWidth,PhaserBank,direct
GetPosition,PhaserBankPtr,GetPosition,,python_wrapper
GetPositionTG,PhaserBankPtr,GetPositionTG,,python_wrapper
EnergyWeapon_GetPowerSetting,PhaserBankPtr,GetPowerSetting,EnergyWeapon,direct
GetProperty,PhaserBankPtr,GetProperty,,python_wrapper
ShipSubsystem_GetRadius,PhaserBankPtr,GetRadius,ShipSubsystem,direct
EnergyWeapon_GetRechargeRate,PhaserBankPtr,GetRechargeRate,EnergyWeapon,direct
ShipSubsystem_GetRepairComplexity,PhaserBankPtr,GetRepairComplexity,ShipSubsystem,direct
ShipSubsystem_GetRepairPointsNeeded,PhaserBankPtr,GetRepairPointsNeeded,ShipSubsystem,direct
Weapon_GetTargetID,PhaserBankPtr,GetTargetID,Weapon,direct
PhaserBank_GetWidth,PhaserBankPtr,GetWidth,PhaserBank,direct
GetWorldLocation,PhaserBankPtr,GetWorldLocation,,python_wrapper
ShipSubsystem_HasTargetableChildSubsystem,PhaserBankPtr,HasTargetableChildSubsystem,ShipSubsystem,direct
ShipSubsystem_IsCritical,PhaserBankPtr,IsCritical,ShipSubsystem,direct
ShipSubsystem_IsDisabled,PhaserBankPtr,IsDisabled,ShipSubsystem,direct
Weapon_IsDumbFire,PhaserBankPtr,IsDumbFire,Weapon,direct
Weapon_IsFiring,PhaserBankPtr,IsFiring,Weapon,direct
ShipSubsystem_IsHittableFromLocation,PhaserBankPtr,IsHittableFromLocation,ShipSubsystem,direct
ShipSubsystem_IsInvincible,PhaserBankPtr,IsInvincible,ShipSubsystem,direct
Weapon_IsMemberOfGroup,PhaserBankPtr,IsMemberOfGroup,Weapon,direct
ShipSubsystem_IsTargetable,PhaserBankPtr,IsTargetable,ShipSubsystem,direct
TGObject_IsTypeOf,PhaserBankPtr,IsTypeOf,TGObject,direct
TGAttrObject_LookupAttrInt,PhaserBankPtr,LookupAttrInt,TGAttrObject,direct
TGAttrObject_LookupAttrValue,PhaserBankPtr,LookupAttrValue,TGAttrObject,direct
TGTemplatedAttrObject_LookupLocalAttrValue,PhaserBankPtr,LookupLocalAttrValue,TGTemplatedAttrObject,direct
TGObject_Print,PhaserBankPtr,Print,TGObject,direct
TGEventHandlerObject_ProcessEvent,PhaserBankPtr,ProcessEvent,TGEventHandlerObject,direct
TGEventHandlerObject_RemoveAllInstanceHandlers,PhaserBankPtr,RemoveAllInstanceHandlers,TGEventHandlerObject,direct
TGAttrObject_RemoveAttr,PhaserBankPtr,RemoveAttr,TGAttrObject,direct
TGEventHandlerObject_RemoveHandlerForInstance,PhaserBankPtr,RemoveHandlerForInstance,TGEventHandlerObject,direct
ShipSubsystem_Repair,PhaserBankPtr,Repair,ShipSubsystem,direct
TGAttrObject_SetAttrInt,PhaserBankPtr,SetAttrInt,TGAttrObject,direct
TGAttrObject_SetAttrValue,PhaserBankPtr,SetAttrValue,TGAttrObject,direct
EnergyWeapon_SetChargeLevel,PhaserBankPtr,SetChargeLevel,EnergyWeapon,direct
ShipSubsystem_SetCondition,PhaserBankPtr,SetCondition,ShipSubsystem,direct
ShipSubsystem_SetConditionPercentage,PhaserBankPtr,SetConditionPercentage,ShipSubsystem,direct
Weapon_SetFiring,PhaserBankPtr,SetFiring,Weapon,direct
ShipSubsystem_SetInvincible,PhaserBankPtr,SetInvincible,ShipSubsystem,direct
ShipSubsystem_SetParentShip,PhaserBankPtr,SetParentShip,ShipSubsystem,direct
ShipSubsystem_SetParentSubsystem,PhaserBankPtr,SetParentSubsystem,ShipSubsystem,direct
